split,faultNumber,model,n_trajectories,mean_metric,median_metric,std_metric,minimum,maximum
validation,7,decision_tree,100,0.9598235350775915,0.96,0.0243338627168,0.8947368421052632,1.0
validation,7,extra_trees,100,0.9624369368884844,0.9611613876319759,0.024425281491767696,0.8947368421052632,1.0
validation,7,hist_gradient_boosting,100,0.9602053410092535,0.96,0.025908877008304618,0.8947368421052632,1.0
validation,7,linear_svm,100,0.9622369368884844,0.9607843137254902,0.024361818258010336,0.8947368421052632,1.0
validation,7,logistic_regression,100,0.9622369368884844,0.9607843137254902,0.024361818258010336,0.8947368421052632,1.0
validation,7,random_forest,100,0.9624369368884844,0.9611613876319759,0.024425281491767696,0.8947368421052632,1.0
validation,8,decision_tree,100,0.7573461343561506,0.7604347826086957,0.07252045462691528,0.56,0.9210526315789473
validation,8,extra_trees,100,0.8802819235120635,0.8863636363636364,0.05779694705312002,0.6976744186046512,1.0
validation,8,hist_gradient_boosting,100,0.8589098780639343,0.8636363636363636,0.06047869201721172,0.6511627906976745,0.9642857142857143
validation,8,linear_svm,100,0.4624153815123978,0.4699879951980792,0.12419952857623738,0.1875,0.7547169811320755
validation,8,logistic_regression,100,0.4439758056324196,0.4376940133037694,0.1698030895845713,0.05084745762711865,0.8301886792452831
validation,8,random_forest,100,0.8814649096074803,0.8897569444444444,0.05894648093909174,0.627906976744186,1.0
validation,9,decision_tree,100,0.1587734626231584,0.16,0.050102141344090065,0.03636363636363636,0.325
validation,9,extra_trees,100,0.16565643083116782,0.16035714285714286,0.06249762598077854,0.06666666666666667,0.3695652173913043
validation,9,hist_gradient_boosting,100,0.15434587975506578,0.1599025974025974,0.05661273244942556,0.022727272727272728,0.34210526315789475
validation,9,linear_svm,100,0.20633379489350426,0.20761494252873564,0.06208593571900121,0.058823529411764705,0.3898305084745763
validation,9,logistic_regression,100,0.0831336177068583,0.0747728860936408,0.04058760125481161,0.0,0.22448979591836735
validation,9,random_forest,100,0.16824310737448,0.1694915254237288,0.05389034276216793,0.023255813953488372,0.29545454545454547
validation,10,decision_tree,100,0.6396282118305481,0.6428571428571429,0.09604695166888332,0.4186046511627907,0.8837209302325582
validation,10,extra_trees,100,0.7749089278733519,0.7755102040816326,0.0931327776590539,0.5116279069767442,0.9767441860465116
